,Animal Number,gestation,weeks,visit_results_new,failed_count,parity
2913,16133,1,16,Connection attempt,1.0,Primiparous
2914,16133,1,16,Dead milk time,5.0,Primiparous
2917,16133,5,3,Dead milk time,1.0,Multiparous
2923,16133,5,8,Connection attempt,1.0,Multiparous
2925,16137,5,3,Dead milk time,2.0,Multiparous
2964,16141,2,17,Connection attempt,3.0,Multiparous
2965,16141,2,17,Dead milk time,1.0,Multiparous
2970,16141,2,21,Stopped by user,1.0,Multiparous
2994,16141,4,26,Connection attempt,1.0,Multiparous
2997,16141,4,28,Connection attempt,1.0,Multiparous
2999,16141,4,29,Connection attempt,2.0,Multiparous
3007,16177,4,4,Stopped by user,1.0,Multiparous
3059,16220,1,23,Dead milk time,2.0,Primiparous
3061,16220,1,24,Dead milk time,3.0,Primiparous
3068,16220,1,30,Connection attempt,1.0,Primiparous
3080,16220,1,41,Connection time,1.0,Primiparous
3100,16220,2,6,Automatic robot stop,1.0,Multiparous
3110,16220,2,15,Automatic robot stop,1.0,Multiparous
3137,16220,2,45,Dead milk time,1.0,Multiparous
3166,16220,3,21,Dead milk time,1.0,Multiparous
3170,16220,3,24,Dead milk time,1.0,Multiparous
3180,16220,3,33,Dead milk time,1.0,Multiparous
3182,16220,3,34,Dead milk time,1.0,Multiparous
3187,16220,3,38,Dead milk time,1.0,Multiparous
3195,16220,3,45,Dead milk time,1.0,Multiparous
3215,16220,4,19,Dead milk time,1.0,Multiparous
3221,16220,4,24,Dead milk time,1.0,Multiparous
3251,16222,5,4,Dead milk time,1.0,Multiparous
3269,16309,1,22,Dead milk time,1.0,Primiparous
3275,16309,1,27,Dead milk time,1.0,Primiparous
3290,16309,1,41,Connection time,1.0,Primiparous
3355,16309,3,17,Automatic robot stop,1.0,Multiparous
3374,16309,3,35,Dead milk time,1.0,Multiparous
3376,16309,3,36,Dead milk time,1.0,Multiparous
3425,16309,4,32,Automatic robot stop,1.0,Multiparous
3448,16373,1,2,Connection attempt,1.0,Primiparous
3459,16373,1,12,Connection attempt,1.0,Primiparous
3461,16373,1,13,Connection attempt,1.0,Primiparous
3463,16373,1,14,Connection attempt,1.0,Primiparous
3464,16373,1,14,Connection time,1.0,Primiparous
3466,16373,1,15,Connection time,1.0,Primiparous
3468,16373,1,16,Dead milk time,1.0,Primiparous
3470,16373,1,17,Connection time,1.0,Primiparous
3472,16373,1,18,Dead milk time,1.0,Primiparous
3483,16373,1,28,Dead milk time,1.0,Primiparous
3528,16373,3,7,Dead milk time,1.0,Multiparous
3558,16373,3,36,Dead milk time,1.0,Multiparous
3569,16373,4,4,Automatic robot stop,1.0,Multiparous
3575,16373,4,9,Connection attempt,1.0,Multiparous
3617,16382,4,25,Connection attempt,1.0,Multiparous
3647,16423,4,9,Connection time,2.0,Multiparous
3657,16423,4,18,Dead milk time,2.0,Multiparous
3660,16423,4,20,Connection time,1.0,Multiparous
3662,16423,4,21,Automatic robot stop,1.0,Multiparous
3670,16423,4,28,Dead milk time,1.0,Multiparous
3677,16423,4,34,Dead milk time,1.0,Multiparous
3695,16426,1,6,Connection attempt,1.0,Primiparous
3712,16426,1,22,Dead milk time,1.0,Primiparous
3731,16426,1,40,Connection attempt,2.0,Primiparous
3773,16426,2,23,Connection attempt,1.0,Multiparous
3803,16426,3,7,Dead milk time,1.0,Multiparous
3812,16426,3,15,Dead milk time,1.0,Multiparous
3814,16426,3,16,Dead milk time,1.0,Multiparous
3816,16426,3,17,Dead milk time,1.0,Multiparous
3820,16426,3,20,Dead milk time,1.0,Multiparous
3827,16426,3,26,Connection time,1.0,Multiparous
3829,16426,3,27,Dead milk time,1.0,Multiparous
3900,16435,4,10,Connection attempt,2.0,Multiparous
3906,16435,4,15,Dead milk time,1.0,Multiparous
3908,16435,4,16,Connection attempt,1.0,Multiparous
3911,16435,4,18,Connection attempt,1.0,Multiparous
3951,16595,4,4,Connection attempt,1.0,Multiparous
3988,16616,4,2,Automatic robot stop,1.0,Multiparous
3990,16616,4,3,Automatic robot stop,1.0,Multiparous
4038,16636,4,8,Dead milk time,1.0,Multiparous
4042,16636,4,11,Dead milk time,1.0,Multiparous
4045,16636,4,13,Dead milk time,1.0,Multiparous
4050,16636,4,17,Dead milk time,1.0,Multiparous
4062,16636,4,28,Dead milk time,1.0,Multiparous
4064,16636,4,29,Dead milk time,1.0,Multiparous
4068,16636,4,32,Connection attempt,1.0,Multiparous
4075,16636,4,38,Dead milk time,1.0,Multiparous
4084,16636,4,46,Dead milk time,1.0,Multiparous
4086,16636,4,47,Connection time,2.0,Multiparous
4087,16636,4,47,Dead milk time,1.0,Multiparous
4089,16636,4,48,Connection time,1.0,Multiparous
4090,16636,4,48,Dead milk time,1.0,Multiparous
4093,16636,4,50,Connection time,2.0,Multiparous
4096,16636,4,52,Connection time,1.0,Multiparous
4101,16663,4,8,Dead milk time,1.0,Multiparous
4114,16663,4,20,Connection attempt,1.0,Multiparous
4150,16731,1,27,Connection attempt,1.0,Primiparous
4156,16731,1,32,Automatic robot stop,1.0,Primiparous
4161,16731,1,36,Connection attempt,1.0,Primiparous
4163,16731,1,37,Automatic robot stop,1.0,Primiparous
4168,16731,1,41,Dead milk time,1.0,Primiparous
4250,16731,3,41,Dead milk time,2.0,Multiparous
4252,16731,3,42,Dead milk time,1.0,Multiparous
4330,16785,4,21,Connection time,1.0,Multiparous
4363,16795,1,7,Other,1.0,Primiparous
4373,16795,1,16,Connection attempt,1.0,Primiparous
4374,16795,1,16,Other,1.0,Primiparous
4386,16795,1,27,Dead milk time,1.0,Primiparous
4391,16795,1,31,Connection time,1.0,Primiparous
4396,16795,1,35,Connection attempt,1.0,Primiparous
4398,16795,1,36,Connection attempt,2.0,Primiparous
4408,16795,1,45,Automatic robot stop,1.0,Primiparous
4488,16795,3,40,Connection time,1.0,Multiparous
4490,16795,3,41,Connection time,1.0,Multiparous
4492,16795,3,42,Connection time,1.0,Multiparous
4543,16813,2,3,Stopped by user,1.0,Multiparous
4599,16813,3,17,Connection attempt,1.0,Multiparous
4638,16813,4,13,Automatic robot stop,1.0,Multiparous
4668,16813,4,42,Dead milk time,2.0,Multiparous
4671,16850,4,8,Connection time,1.0,Multiparous
4672,16850,4,8,Dead milk time,3.0,Multiparous
4674,16850,4,9,Dead milk time,1.0,Multiparous
4678,16850,4,12,Dead milk time,1.0,Multiparous
4685,16850,4,18,Dead milk time,1.0,Multiparous
4696,16850,4,28,Connection time,2.0,Multiparous
4701,16850,4,32,Connection time,1.0,Multiparous
4715,16850,5,5,Dead milk time,1.0,Multiparous
4721,16961,1,5,Connection attempt,1.0,Primiparous
4724,16961,1,7,Connection attempt,1.0,Primiparous
4745,16961,1,27,Connection attempt,1.0,Primiparous
4747,16961,1,28,Connection attempt,2.0,Primiparous
4780,16961,2,4,Connection attempt,1.0,Multiparous
4788,16961,2,11,Connection attempt,1.0,Multiparous
4790,16961,2,12,Connection attempt,1.0,Multiparous
4794,16961,2,18,Dead milk time,1.0,Multiparous
4800,16961,2,23,Automatic robot stop,1.0,Multiparous
4825,16961,3,3,Connection time,1.0,Multiparous
4886,16991,4,14,Dead milk time,2.0,Multiparous
4889,16991,4,16,Dead milk time,1.0,Multiparous
4902,16995,1,6,Dead milk time,1.0,Primiparous
4930,16995,1,36,Automatic robot stop,1.0,Primiparous
4951,16995,3,16,Stopped by user,1.0,Multiparous
4975,16995,3,39,Dead milk time,2.0,Multiparous
4986,16995,4,7,Dead milk time,1.0,Multiparous
5030,17019,3,18,Dead milk time,1.0,Multiparous
5049,17019,3,36,Dead milk time,1.0,Multiparous
5052,17019,3,38,Dead milk time,1.0,Multiparous
5055,17019,3,40,Dead milk time,2.0,Multiparous
5070,17019,3,54,Dead milk time,1.0,Multiparous
5072,17019,3,55,Dead milk time,1.0,Multiparous
5104,17046,1,27,Dead milk time,1.0,Primiparous
5111,17046,1,33,Dead milk time,1.0,Primiparous
5118,17046,1,39,Dead milk time,1.0,Primiparous
5127,17046,2,2,Dead milk time,1.0,Multiparous
5129,17046,2,3,Dead milk time,1.0,Multiparous
5140,17046,2,13,Dead milk time,1.0,Multiparous
5142,17046,2,14,Dead milk time,1.0,Multiparous
5145,17046,2,16,Dead milk time,1.0,Multiparous
5152,17046,2,22,Automatic robot stop,1.0,Multiparous
5157,17046,2,26,Dead milk time,1.0,Multiparous
5171,17046,2,42,Dead milk time,1.0,Multiparous
5195,17046,3,16,Dead milk time,1.0,Multiparous
5201,17046,3,21,Dead milk time,1.0,Multiparous
5209,17046,3,28,Dead milk time,1.0,Multiparous
5215,17046,3,33,Connection attempt,1.0,Multiparous
5217,17046,3,34,Dead milk time,1.0,Multiparous
5221,17046,3,37,Connection attempt,1.0,Multiparous
5224,17046,3,39,Dead milk time,2.0,Multiparous
5233,17046,4,3,Connection time,1.0,Multiparous
5239,17046,4,8,Dead milk time,1.0,Multiparous
5241,17046,4,9,Dead milk time,1.0,Multiparous
5244,17046,4,11,Dead milk time,2.0,Multiparous
5246,17046,4,12,Dead milk time,1.0,Multiparous
5252,17046,4,17,Dead milk time,1.0,Multiparous
5256,17046,4,20,Dead milk time,4.0,Multiparous
5258,17046,4,21,Dead milk time,1.0,Multiparous
5264,17046,4,26,Dead milk time,1.0,Multiparous
5267,17046,4,28,Dead milk time,1.0,Multiparous
5270,17046,4,30,Dead milk time,1.0,Multiparous
5279,17046,4,38,Dead milk time,1.0,Multiparous
5283,17046,4,41,Dead milk time,1.0,Multiparous
5299,17048,1,13,Dead milk time,2.0,Primiparous
5309,17048,1,22,Connection attempt,1.0,Primiparous
5403,17048,3,32,Dead milk time,2.0,Multiparous
5405,17048,3,33,Dead milk time,2.0,Multiparous
5427,17048,4,5,Connection attempt,1.0,Multiparous
5441,17048,4,18,Automatic robot stop,1.0,Multiparous
5461,17048,4,37,Connection attempt,1.0,Multiparous
5469,17079,1,5,Dead milk time,1.0,Primiparous
5475,17079,1,10,Dead milk time,1.0,Primiparous
5484,17079,4,11,Connection attempt,1.0,Multiparous
5498,17079,4,24,Dead milk time,1.0,Multiparous
5509,17079,4,34,Dead milk time,1.0,Multiparous
5515,17079,4,39,Dead milk time,1.0,Multiparous
5518,17079,4,41,Automatic robot stop,1.0,Multiparous
5522,17079,4,44,Dead milk time,1.0,Multiparous
5531,17085,4,4,Dead milk time,1.0,Multiparous
5533,17085,4,5,Connection attempt,1.0,Multiparous
5535,17085,4,6,Connection attempt,1.0,Multiparous
5542,17085,4,12,Connection attempt,1.0,Multiparous
5544,17085,4,13,Connection attempt,1.0,Multiparous
5545,17085,4,13,Dead milk time,1.0,Multiparous
5553,17103,1,7,Dead milk time,1.0,Primiparous
5573,17103,1,26,Automatic robot stop,1.0,Primiparous
5613,17103,2,19,Automatic robot stop,1.0,Multiparous
5620,17103,2,25,Dead milk time,1.0,Multiparous
5646,17103,3,5,Connection time,1.0,Multiparous
5647,17103,3,5,Dead milk time,1.0,Multiparous
5649,17103,3,6,Automatic robot stop,1.0,Multiparous
5651,17103,3,7,Dead milk time,1.0,Multiparous
5655,17103,3,10,Automatic robot stop,1.0,Multiparous
5657,17103,3,11,Dead milk time,1.0,Multiparous
5664,17103,3,17,Dead milk time,1.0,Multiparous
5695,17103,3,47,Dead milk time,1.0,Multiparous
5707,17103,4,10,Dead milk time,1.0,Multiparous
5711,17103,4,13,Dead milk time,1.0,Multiparous
5716,17103,4,17,Connection attempt,1.0,Multiparous
5721,17103,4,21,Dead milk time,1.0,Multiparous
5735,17145,4,3,Connection time,1.0,Multiparous
5748,17145,4,15,Dead milk time,1.0,Multiparous
5755,17145,4,21,Connection time,1.0,Multiparous
5758,17145,4,23,Connection time,1.0,Multiparous
